AGEP Age,Male,Female,Total
18,145713,138862,284576
19,146391,139856,286245
20,154993,146388,301381
21,160227,152428,312655
22,160620,153894,314519
23,162938,156992,319928
24,168053,163008,331063
25,173465,167611,341075
26,178701,174606,353303
27,178313,177274,355587
28,178329,180893,359229
29,178035,184452,362487
30,182013,189985,371996
31,183210,191390,374597
32,180690,189587,370276
33,178995,189157,368151
34,179481,188580,368059
35,181977,190000,371982
36,181228,190158,371385
37,180169,187798,367966
38,181672,187792,369464
39,176649,181379,358028
40,174132,177663,351793
41,165259,168852,334111
42,161850,165976,327822
43,157193,161473,318666
44,155979,160469,316452
45,156315,160160,316469
46,156866,162435,319301
47,159102,165415,324521
48,162263,169145,331411
49,167969,176296,344265
50,171265,180288,351555
51,159536,166527,326055
52,157479,165219,322696
53,151061,157854,308918
54,147829,153896,301719
55,146964,152986,299951
56,148136,154497,302630
57,152124,159026,311151
58,154155,161328,315483
59,152859,159838,312697
60,151398,159496,310898
61,144744,154023,298774
62,142230,150933,293164
63,138192,148059,286253
64,134586,144428,279015
65,132977,141386,274364
66,128006,138209,266220
67,123503,134001,257505
68,122785,131874,254658
69,118630,127091,245716
70,116451,124742,241192
71,113763,122106,235866
72,109314,117152,226470
73,108751,115227,223976
74,113000,120261,233262
75,91699,97730,189431
76,85328,92857,178187
77,79715,87125,166835
78,68829,77095,145927
79,67063,74474,141538
80,59584,68073,127654
81,55647,64668,120314
82,50440,61126,111569
83,45591,56215,101809
84,41213,52039,93253
85,36137,47018,83149
86,30853,42276,73133
87,26722,37505,64218
88,23289,34252,57544
89,19933,30416,50347
90,17462,28127,45590
91,14744,24710,39450
92,11560,20510,32070
93,8812,17263,26072
94,6588,13594,20181
95,4978,10520,15502
96,3312,8167,11480
97,2272,5966,8238
98,1541,4208,5746
99,1083,2996,4073
100,538,1895,2425
101,324,1123,1442
102,142,564,703
103,78,360,441
104,44,216,260
105,29,105,130
106,3,69,74
107,8,20,31
108,3,15,25
109,0,6,7
110,4,4,6
111,0,4,4
112,0,0,0
113,0,0,0
114,0,0,0
115,0,0,0
